Order_ID,Product_Name,Sales
CA-2016-152156,Bush Somerset Collection Bookcase,261.96
CA-2016-152156,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
US-2015-108966,Bretford CR4500 Series Slim Rectangular Table,957.5775
CA-2014-115812,Mitel 5320 IP Phone VoIP phone,907.152
CA-2014-115812,Chromcraft Rectangular Conference Tables,1706.184
CA-2014-115812,Konftel 250 Conference phone - Charcoal black,911.424
CA-2016-161389,Fellowes PB200 Plastic Comb Binding Machine,407.976
CA-2014-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
CA-2015-106320,Bretford CR4500 Series Slim Rectangular Table,1044.63
US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
CA-2016-117590,GE 30524EE4,1097.544
CA-2015-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
CA-2015-117415,Plantronics HL10 Handset Lifter,371.168
CA-2016-105816,AT&T CL83451 4-Handset Telephone,1029.95
CA-2016-111682,Novimex Turbo Task Chair,319.41
CA-2014-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
US-2015-134026,High-Back Leather Manager's Chair,831.936
US-2017-119662,Safco Industrial Wire Shelving,230.376
CA-2017-140088,Novimex Swivel Fabric Task Chair,301.96
US-2015-156867,Logitech K350 2.4Ghz Wireless Keyboard,238.896
CA-2015-129476,Logitech Gaming G510s - Keyboard,339.96
CA-2015-110457,Hon Racetrack Conference Tables,787.53
US-2014-152030,Global Deluxe High-Back Manager's Chair,600.558
US-2014-134614,Bevis 44 x 96 Conference Tables,617.7
US-2017-107272,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
US-2016-125969,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
CA-2017-155376,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
CA-2015-110744,Safco Industrial Wire Shelving,671.93
CA-2016-114489,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
CA-2016-114489,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
CA-2014-104269,Global Deluxe High-Back Manager's Chair,457.568
CA-2016-114104,Avaya 5420 Digital phone,944.93
CA-2014-139892,Lexmark MX611dhe Monochrome Laser Printer,8159.952
CA-2014-139892,Space Solutions HD Industrial Steel Shelving.,275.928
CA-2014-139892,SAFCO Arco Folding Chair,1740.06
