Customer_ID,Order_ID,Product_Name,Sales
BW-11200,CA-2014-109897,BlackBerry Q10,806.336
AS-10225,CA-2014-110408,Avaya IP Phone 1140E VoIP phone,1394.95
CR-12625,CA-2014-111003,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,289.2
TS-21430,CA-2014-111192,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1367.84
EK-13795,CA-2014-111871,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33
EB-14170,CA-2014-111962,Fellowes Super Stor/Drawer Files,807.75
DP-13165,CA-2014-112158,O'Sullivan Living Dimensions 5-Shelf Bookcases,883.92
AJ-10960,CA-2014-113362,Fellowes Officeware Wire Shelving,449.15
SF-20065,CA-2014-113383,"Dana Fluorescent Magnifying Lamp, White, 36""",254.9
VF-21715,CA-2014-113880,Novimex Swivel Fabric Task Chair,634.116
AF-10885,CA-2014-114181,Bestar Classic Bookcase,349.965
MD-17350,CA-2014-114251,Tennsco Double-Tier Lockers,1080.096
XP-21865,CA-2014-114335,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,337.088
LS-17200,CA-2014-115084,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,605.34
BH-11710,CA-2014-115812,Chromcraft Rectangular Conference Tables,1706.184
LW-17215,CA-2014-116246,HON 5400 Series Task Chairs for Big and Tall,3785.292
KT-16480,CA-2014-116666,Hewlett Packard LaserJet 3310 Copier,1799.97
SC-20095,CA-2014-116904,Ibico EPK-21 Electric Binding System,9449.95
ME-18010,CA-2014-116932,Global Troy Executive Leather Low-Back Tilter,801.568
JL-15835,CA-2014-127299,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985
MC-17590,CA-2014-127446,Bretford CR4500 Series Slim Rectangular Table,1218.735
EM-14065,CA-2014-127691,Logitech G602 Wireless Gaming Mouse,159.98
DB-13060,CA-2014-128146,Wireless Extenders zBoost YX545 SOHO Signal Booster,1322.93
GT-14710,CA-2014-128209,DMI Eclipse Executive Suite Bookcases,4007.84
MZ-17515,CA-2014-128524,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2033.584
PB-19105,CA-2014-128888,Ames Color-File Green Diamond Border X-ray Mailers,604.656
AC-10420,CA-2014-129924,Hon 5100 Series Wood Tables,698.352
TG-21640,CA-2014-130428,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1125.488
AI-10855,CA-2014-131387,Samsung Galaxy Mega 6.3,1679.96
LR-16915,CA-2014-131450,Sharp AL-1530CS Digital Copier,1199.976
DW-13480,CA-2014-131926,Global Deluxe High-Back Manager's Chair,2001.86
FO-14305,CA-2014-132612,Bevis 44 x 96 Conference Tables,1441.3
KM-16375,CA-2014-133592,Plantronics Savi W720 Multi-Device Wireless Headset System,1687.8
RA-19915,CA-2014-134313,ClearOne CHATAttach 160 - speaker phone,1983.968
TS-21505,CA-2014-134551,SAFCO Arco Folding Chair,662.88
SM-20320,CA-2014-145317,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
AM-10705,CA-2014-145387,Hon Pagoda Stacking Chairs,1604.9
TB-21400,CA-2014-145541,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96
KT-16465,CA-2014-146283,SAFCO Arco Folding Chair,966.7
AG-10300,CA-2014-147298,Bevis Steel Folding Chairs,230.28
SM-20005,CA-2014-148488,Poly Designer Cover & Back,106.344
AS-10240,CA-2014-149958,"Hot File 7-Pocket, Floor Stand",142.776
PC-18745,CA-2014-150245,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488
TC-21295,CA-2014-151330,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82
BT-11440,CA-2014-151946,O'Sullivan Living Dimensions 5-Shelf Bookcases,353.568
FG-14260,CA-2014-152443,GBC ProClick Punch Binding System,447.86
TH-21100,CA-2014-153850,Samsung Galaxy S4,1502.376
KB-16585,CA-2014-153913,Hon Olson Stacker Stools,1013.832
KN-16450,CA-2014-154599,Pyle PMP37LED,1075.088
SA-20830,CA-2014-154627,Apple iPhone 5S,2735.952
GM-14440,CA-2014-154893,SAFCO Arco Folding Chair,1325.76
MG-17650,CA-2014-166471,Cisco Unified IP Phone 7945G VoIP phone,1091.168
BT-11305,CA-2014-166954,GuestStacker Chair with Chrome Finish Legs,1487.04
GA-14725,CA-2014-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94
NP-18700,CA-2014-168494,Bretford Rectangular Conference Table Tops,3610.848
LF-17185,CA-2014-169019,GBC DocuBind P400 Electric Binding System,2177.584
AB-10150,CA-2014-169061,Logitech Wireless Gaming Headset G930,479.97
RA-19945,CA-2014-169775,GBC DocuBind 200 Manual Binding Machine,505.176
IG-15085,CA-2015-101000,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,370.14
DB-13120,CA-2015-101889,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1548.99
MP-17470,CA-2015-102281,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136
KW-16435,CA-2015-102491,Cisco 9971 IP Video Phone Charcoal,3080
LR-17035,CA-2015-102876,Samsung Galaxy Note 3,791.964
SS-20515,CA-2015-103135,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,279.86
JJ-15760,CA-2015-103205,Nokia Lumia 521 (T-Mobile),119.96
SC-20440,CA-2015-103835,Hoover Upright Vacuum With Dirt Cup,1158.12
DR-12880,CA-2015-103933,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,899.91
HR-14770,CA-2015-103954,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,687.4
VD-21670,CA-2015-113145,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93
JK-15625,CA-2015-113152,Plantronics Savi W720 Multi-Device Wireless Headset System,843.9
EM-13810,CA-2015-113404,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,1348.704
ND-18370,CA-2015-114069,Safco Contoured Stacking Chairs,1931.04
KD-16495,CA-2015-114811,Zebra ZM400 Thermal Label Printer,4643.8
LH-17020,CA-2015-114923,JBL Micro Wireless Portable Bluetooth Speaker,107.982
ZC-21910,CA-2015-115567,Hon Multipurpose Stacking Arm Chairs,1516.2
AB-10165,CA-2015-115945,Tennsco Regal Shelving Units,304.23
JH-15985,CA-2015-116638,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644
QJ-19255,CA-2015-117086,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9
SN-20710,CA-2015-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
MZ-17335,CA-2015-117611,Logitech G19 Programmable Gaming Keyboard,371.97
MC-17575,CA-2015-117772,"Belkin 19"" Center-Weighted Shelf, Gray",353.88
DC-13285,CA-2015-117884,Logitech G602 Wireless Gaming Mouse,447.944
GP-14740,CA-2015-117961,"Tennsco Lockers, Sand",104.9
LS-17230,CA-2015-118955,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,197.372
SS-20410,CA-2015-119879,"Bevis Oval Conference Table, Walnut",1252.704
CA-12265,CA-2015-120362,"Lesro Round Back Collection Coffee Table, End Table",912.75
JW-16075,CA-2015-120621,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,962.08
BD-11320,CA-2015-120677,Hon Pagoda Stacking Chairs,2567.84
SD-20485,CA-2015-120782,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3812.97
JJ-15445,CA-2015-120915,Nortel Meridian M3904 Professional Digital phone,307.98
CC-12145,CA-2015-121797,Bady BDG101FRU Card Printer,1919.976
JO-15280,CA-2015-130890,"Bevis Round Bullnose 29"" High Table Top",1038.84
NP-18325,CA-2015-131338,GBC Ibimaster 500 Manual ProClick Binding System,1217.568
JO-15550,CA-2015-132101,Wireless Extenders zBoost YX545 SOHO Signal Booster,453.576
DM-13525,CA-2015-132465,Fellowes Staxonsteel Drawer Files,772.68
JF-15355,CA-2015-132486,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,842.352
MM-18280,CA-2015-132941,Logitech G35 7.1-Channel Surround Sound Headset,207.984
JF-15490,CA-2015-133445,Global Highback Leather Tilter in Burgundy,291.168
CM-12715,CA-2015-133585,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1227.9984
MS-17710,CA-2015-134257,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",491.55
JD-15790,CA-2015-134719,Tennsco Single-Tier Lockers,1801.632
BP-11230,CA-2015-135174,Cisco Unified IP Phone 7945G VoIP phone,1022.97
RP-19270,CA-2015-135251,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,369.1992
CL-12565,CA-2015-135580,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56
TW-21025,CA-2015-137113,Global Troy Executive Leather Low-Back Tilter,2003.92
PB-19150,CA-2015-137526,"Deflect-o EconoMat Nonstudded, No Bevel Mat",464.85
DB-13615,CA-2015-137946,Hewlett Packard LaserJet 3310 Copier,959.984
LL-16840,CA-2015-137974,Tenex Antistatic Computer Chair Mats,1196.86
DV-13465,CA-2015-146486,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),899.95
CB-12025,CA-2015-146563,"Hot File 7-Pocket, Floor Stand",999.432
Co-12640,CA-2015-147501,Okidata C331dn Printer,558.4
SC-20020,CA-2015-147690,"Iceberg Mobile Mega Data/Printer Cart ",577.584
TM-21010,CA-2015-147788,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86
NF-18385,CA-2015-147830,Plantronics Savi W720 Multi-Device Wireless Headset System,2025.36
TS-21160,CA-2015-149342,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",595.38
SB-20185,CA-2015-149846,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32
LC-16870,CA-2015-150770,Logitech Gaming G510s - Keyboard,339.96
RE-19450,CA-2015-151589,Cisco SPA 502G IP Phone,239.9
DE-13255,CA-2015-153381,Hon Olson Stacker Stools,1408.1
PC-19000,CA-2015-153388,Hon 2111 Invitation Series Corner Table,1004.976
TS-21340,CA-2015-153416,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,454.86
SW-20455,CA-2015-153423,GBC Ibimaster 500 Manual ProClick Binding System,1217.568
SZ-20035,CA-2015-154284,Enermax Acrylux Wireless Keyboard,637.44
RP-19855,CA-2015-154326,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),699.98
PJ-18835,CA-2015-154746,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,826.11
KN-16390,CA-2015-154823,Global Commerce Series High-Back Swivel/Tilt Chairs,598.458
BD-11560,CA-2015-163923,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,151.96
SS-20875,CA-2015-163965,O'Sullivan Living Dimensions 2-Shelf Bookcases,290.352
EB-13840,CA-2015-164301,Bush Advantage Collection Racetrack Conference Table,3393.68
SC-20305,CA-2015-164777,HON 5400 Series Task Chairs for Big and Tall,2803.92
SG-20080,CA-2015-164882,Polycom SoundStation2 EX Conference phone,1295.84
BT-11485,CA-2015-165085,Kensington 7 Outlet MasterPiece Power Center,355.96
EB-13750,CA-2015-166947,Hon Every-Day Series Multi-Task Chairs,1522.638
VT-21700,CA-2015-167010,Fellowes High-Stak Drawer Files,563.808
JB-15925,CA-2015-169397,Swingline SM12-08 MicroCut Jam Free Shredder,479.988
Dp-13240,CA-2015-169796,Zebra ZM400 Thermal Label Printer,2321.9
BF-10975,CA-2016-100041,Xerox 189,314.55
MJ-17740,CA-2016-100300,Okidata MB760 Printer,4476.8
JG-15805,CA-2016-100790,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.25
AZ-10750,CA-2016-100993,Chromcraft Round Conference Tables,557.728
DB-12910,CA-2016-101672,Global Deluxe High-Back Manager's Chair,915.136
BS-11665,CA-2016-101791,Standard Rollaway File with Lock,1297.368
PM-18940,CA-2016-102092,"Iceberg OfficeWorks 42"" Round Tables",1056.86
JF-15565,CA-2016-102162,Canon PC-428 Personal Copier,1599.92
DB-12970,CA-2016-110975,Hon 4070 Series Pagoda Round Back Stacking Chairs,866.646
FP-14320,CA-2016-111213,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492
TB-21055,CA-2016-111682,Novimex Turbo Task Chair,319.41
AH-10195,CA-2016-112697,Premier Automatic Letter Opener,961.48
EL-13735,CA-2016-113061,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,86.62
AH-10690,CA-2016-113831,Hon Rectangular Conference Tables,2275.5
JE-16165,CA-2016-114489,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
AA-10480,CA-2016-114601,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,479.97
LS-16945,CA-2016-114727,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,854.352
DN-13690,CA-2016-114860,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,842.72
FM-14290,CA-2016-114867,LG G2,1499.97
PF-19225,CA-2016-114972,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1101.48
VM-21835,CA-2016-115476,Plantronics Voyager Pro HD - Bluetooth Headset,129.98
RB-19465,CA-2016-115917,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2
EH-13990,CA-2016-124100,"Global Value Steno Chair, Gray",327.996
CD-12790,CA-2016-124352,Hoover Upright Vacuum With Dirt Cup,868.59
SP-20920,CA-2016-124590,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1537.074
TH-21115,CA-2016-125087,Tennsco 16-Compartment Lockers with Coat Rack,1554.936
BE-11410,CA-2016-125220,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1649.75
RC-19825,CA-2016-125318,Cisco Small Business SPA 502G VoIP phone,328.224
MV-18190,CA-2016-127698,Jabra Supreme Plus Driver Edition Headset,863.928
SW-20275,CA-2016-127761,BlackBerry Q10,881.93
EB-13705,CA-2016-128223,"Bush Cubix Conference Tables, Fully Assembled",1293.488
SW-20350,CA-2016-128517,Nortel Meridian M5316 Digital phone,517.9
DJ-13510,CA-2016-128594,Global Troy Executive Leather Low-Back Tilter,1603.136
CJ-12010,CA-2016-128818,Bady BDG101FRU Card Printer,3999.95
SM-20905,CA-2016-129280,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),431.976
IM-15055,CA-2016-129630,Canon PC1060 Personal Laser Copier,2799.96
AB-10060,CA-2016-129714,GBC DocuBind P400 Electric Binding System,4355.168
MC-18130,CA-2016-129868,Bretford Rectangular Conference Table Tops,902.712
JH-15910,CA-2016-130162,Adtran 1202752G1,302.376
DP-13390,CA-2016-138478,Ibico EPK-21 Electric Binding System,4535.976
PN-18775,CA-2016-138597,Hon Every-Day Series Multi-Task Chairs,563.94
KC-16675,CA-2016-138695,Novimex Fabric Task Chair,390.272
MC-17635,CA-2016-139010,Fellowes Officeware Wire Shelving,449.15
JB-16045,CA-2016-139269,"Fellowes Strictly Business Drawer File, Letter/Legal Size",1267.65
