order_id,product_name,quantity,unit_price,discount_pct
CA-2017-140326,"Bush Birmingham Collection Bookcase, Dark Cherry",9,825.174,0.3
CA-2017-125472,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",2,241.96,0
CA-2014-105249,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",4,411.332,0.15
CA-2015-130785,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",4,411.332,0.15
CA-2014-133592,Sauder Inglewood Library Bookcases,2,341.96,0
CA-2014-156349,Sauder Inglewood Library Bookcases,2,290.666,0.15
CA-2015-118423,Sauder Inglewood Library Bookcases,3,359.058,0.3
CA-2016-165848,Sauder Inglewood Library Bookcases,1,136.784,0.2
US-2014-123183,Sauder Inglewood Library Bookcases,6,1025.88,0
CA-2017-161200,O'Sullivan 2-Shelf Heavy-Duty Bookcases,3,145.74,0
CA-2017-126914,O'Sullivan 2-Shelf Heavy-Duty Bookcases,2,77.728,0.2
CA-2017-116946,O'Sullivan 2-Shelf Heavy-Duty Bookcases,7,102.018,0.7
CA-2014-156790,O'Sullivan 2-Shelf Heavy-Duty Bookcases,4,155.456,0.2
CA-2015-168480,O'Sullivan 2-Shelf Heavy-Duty Bookcases,4,194.32,0
US-2016-166660,O'Sullivan 2-Shelf Heavy-Duty Bookcases,1,48.58,0
CA-2014-140487,"Hon Metal Bookcases, Gray",3,212.94,0
US-2014-156559,"Hon Metal Bookcases, Gray",9,638.82,0
US-2015-164238,O'Sullivan Plantations 2-Door Library in Landvery Oak,3,301.47,0.5
US-2016-110170,O'Sullivan Plantations 2-Door Library in Landvery Oak,7,956.6648,0.32
CA-2017-168641,O'Sullivan Plantations 2-Door Library in Landvery Oak,2,321.568,0.2
CA-2017-137449,O'Sullivan Plantations 2-Door Library in Landvery Oak,3,409.9992,0.32
US-2016-131611,O'Sullivan Plantations 2-Door Library in Landvery Oak,7,956.6648,0.32
CA-2017-140963,O'Sullivan Living Dimensions 2-Shelf Bookcases,5,514.165,0.15
CA-2017-108070,O'Sullivan Living Dimensions 2-Shelf Bookcases,1,102.833,0.15
CA-2016-149762,O'Sullivan Living Dimensions 2-Shelf Bookcases,2,205.666,0.15
CA-2016-152688,O'Sullivan Living Dimensions 2-Shelf Bookcases,1,120.98,0
CA-2016-156251,O'Sullivan Living Dimensions 2-Shelf Bookcases,2,241.96,0
CA-2014-131247,O'Sullivan Living Dimensions 2-Shelf Bookcases,2,205.666,0.15
CA-2014-101931,O'Sullivan Living Dimensions 2-Shelf Bookcases,6,616.998,0.15
CA-2014-154599,O'Sullivan Living Dimensions 2-Shelf Bookcases,3,308.499,0.15
CA-2014-166744,O'Sullivan Living Dimensions 2-Shelf Bookcases,3,362.94,0
CA-2015-163965,O'Sullivan Living Dimensions 2-Shelf Bookcases,3,290.352,0.2
CA-2015-137974,O'Sullivan 3-Shelf Heavy-Duty Bookcases,9,523.26,0
CA-2015-100454,O'Sullivan 3-Shelf Heavy-Duty Bookcases,4,186.048,0.2
CA-2017-141201,O'Sullivan 3-Shelf Heavy-Duty Bookcases,3,148.257,0.15
CA-2017-134565,O'Sullivan 3-Shelf Heavy-Duty Bookcases,3,174.42,0
US-2017-169551,O'Sullivan 3-Shelf Heavy-Duty Bookcases,3,87.21,0.5
CA-2016-157707,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",3,90.882,0.7
CA-2017-159149,"Sauder Mission Library with Doors, Fruitwood Finish",1,89.0664,0.32
