year,month,total_orders,monthly_revenue
2014,1,32,6417.102000000001
2014,2,28,1860.7359999999996
2014,3,71,19023.950000000004
2014,4,66,12415.656
2014,5,69,15939.348999999997
2014,6,66,13837.698
2014,7,65,13562.944
2014,8,72,14667.032
2014,9,130,26681.760999999995
2014,10,78,13501.259000000005
2014,11,151,33182.73499999999
2014,12,141,36905.773999999976
2015,1,29,10876.268
2015,2,36,7178.1929999999975
2015,3,79,16185.652000000004
2015,4,72,13873.636499999993
2015,5,74,14107.252499999999
2015,6,68,13281.755999999996
2015,7,66,11818.287000000002
2015,8,68,18997.20100000001
2015,9,140,27161.583999999995
2015,10,87,16833.985500000003
2015,11,158,39154.531500000005
2015,12,161,32410.576999999983
2016,1,48,10871.001000000004
2016,2,45,17602.605999999992
2016,3,86,19516.76099999999
2016,4,89,26868.998000000003
2016,5,108,35449.817999999985
2016,6,97,24496.226999999995
2016,7,96,16087.58
2016,8,90,14750.2645
2016,9,192,30724.170300000013
2016,10,105,19639.75100000001
2016,11,183,38113.40999999998
2016,12,176,58606.27899999999
2017,1,69,22749.976
2017,2,53,9769.588399999997
2017,3,118,20081.991799999993
2017,4,116,17424.47500000001
2017,5,118,20244.376399999997
2017,6,133,32929.0865
2017,7,111,18629.000000000004
2017,8,111,32833.176
2017,9,226,36546.915
2017,10,147,38363.974
2017,11,261,62912.30980000002
2017,12,224,44775.41799999998
2026,6,6,9588
