order_id,customer_id,order_date,ship_date,ship_mode,total_amount,status
CA-2016-152156,CG-12520,11-08-2016,11-11-2016,Second Class,261.96,Delivered
CA-2016-138688,DV-13045,06-12-2016,6/16/2016,Second Class,14.62,Delivered
US-2015-108966,SO-20335,10-11-2015,10/18/2015,Standard Class,957.5775,Delivered
CA-2014-115812,BH-11710,06-09-2014,6/14/2014,Standard Class,48.86,Delivered
CA-2017-114412,AA-10480,4/15/2017,4/20/2017,Standard Class,15.552,Delivered
CA-2016-161389,IM-15070,12-05-2016,12-10-2016,Standard Class,407.976,Delivered
US-2015-118983,HP-14815,11/22/2015,11/26/2015,Standard Class,68.81,Delivered
CA-2014-105893,PK-19075,11-11-2014,11/18/2014,Standard Class,665.88,Delivered
CA-2014-167164,AG-10270,5/13/2014,5/15/2014,Second Class,55.5,Delivered
CA-2014-143336,ZD-21925,8/27/2014,09-01-2014,Second Class,8.56,Delivered
CA-2016-137330,KB-16585,12-09-2016,12/13/2016,Standard Class,19.46,Delivered
US-2017-156909,SF-20065,7/16/2017,7/18/2017,Second Class,71.372,Delivered
CA-2015-106320,EB-13870,9/25/2015,9/30/2015,Standard Class,1044.63,Delivered
CA-2016-121755,EH-13945,1/16/2016,1/20/2016,Second Class,11.648,Delivered
US-2015-150630,TB-21520,9/17/2015,9/21/2015,Standard Class,3083.43,Delivered
CA-2017-107727,MA-17560,10/19/2017,10/23/2017,Second Class,29.472,Delivered
CA-2016-117590,GH-14485,12-08-2016,12-10-2016,First Class,1097.544,Delivered
CA-2015-117415,SN-20710,12/27/2015,12/31/2015,Standard Class,113.328,Delivered
CA-2017-120999,LC-16930,09-10-2017,9/15/2017,Standard Class,147.168,Delivered
CA-2016-101343,RA-19885,7/17/2016,7/22/2016,Standard Class,77.88,Delivered
CA-2017-139619,ES-14080,9/19/2017,9/23/2017,Standard Class,95.616,Delivered
CA-2016-118255,ON-18715,03-11-2016,3/13/2016,First Class,45.98,Delivered
CA-2014-146703,PO-18865,10/20/2014,10/25/2014,Second Class,211.96,Delivered
CA-2016-169194,LH-16900,6/20/2016,6/25/2016,Standard Class,45,Delivered
CA-2015-115742,DP-13000,4/18/2015,4/22/2015,Standard Class,38.22,Delivered
CA-2016-105816,JM-15265,12-11-2016,12/17/2016,Standard Class,15.26,Delivered
CA-2016-111682,TB-21055,6/17/2016,6/18/2016,First Class,208.56,Delivered
CA-2015-135545,KM-16720,11/24/2015,11/30/2015,Standard Class,13.98,Delivered
US-2015-164175,PS-18970,4/30/2015,05-05-2015,Standard Class,213.115,Delivered
CA-2014-106376,BS-11590,12-05-2014,12-10-2014,Standard Class,1113.024,Delivered
CA-2016-119823,KD-16270,06-04-2016,06-06-2016,First Class,75.88,Delivered
CA-2016-106075,HM-14980,9/18/2016,9/23/2016,Standard Class,4.616,Delivered
CA-2017-114440,TB-21520,9/14/2017,9/17/2017,Second Class,19.05,Delivered
US-2015-134026,JE-15745,4/26/2015,05-02-2015,Standard Class,831.936,Delivered
US-2017-118038,KB-16600,12-09-2017,12-11-2017,First Class,1.248,Delivered
US-2014-147606,JE-15745,11/26/2014,12-01-2014,Second Class,19.3,Delivered
CA-2016-127208,SC-20770,06-12-2016,6/15/2016,First Class,208.16,Delivered
CA-2014-139451,DN-13690,10-12-2014,10/16/2014,Standard Class,14.9,Delivered
CA-2015-149734,JC-16105,09-03-2015,09-08-2015,Standard Class,200.984,Delivered
US-2017-119662,CS-12400,11/13/2017,11/16/2017,First Class,230.376,Delivered
CA-2017-140088,PO-18865,5/28/2017,5/30/2017,Second Class,301.96,Delivered
CA-2017-155558,PG-18895,10/26/2017,11-02-2017,Standard Class,19.99,Delivered
CA-2016-159695,GM-14455,04-05-2016,04-10-2016,Second Class,158.368,Delivered
CA-2016-109806,JS-15685,9/17/2016,9/22/2016,Standard Class,20.1,Delivered
CA-2015-149587,KB-16315,1/31/2015,02-05-2015,Second Class,12.96,Delivered
US-2017-109484,RB-19705,11-06-2017,11-12-2017,Standard Class,5.682,Delivered
CA-2017-161018,PN-18775,11-09-2017,11-11-2017,Second Class,96.53,Delivered
CA-2017-157833,KD-16345,6/17/2017,6/20/2017,First Class,51.312,Delivered
CA-2016-149223,ER-13855,09-06-2016,09-11-2016,Standard Class,77.88,Delivered
CA-2016-158568,RB-19465,8/29/2016,09-02-2016,Standard Class,64.624,Delivered
CA-2016-129903,GZ-14470,12-01-2016,12-04-2016,Second Class,23.92,Delivered
US-2015-156867,LC-16870,11/13/2015,11/17/2015,Standard Class,238.896,Delivered
CA-2017-119004,JM-15250,11/23/2017,11/28/2017,Standard Class,74.112,Delivered
CA-2015-129476,PA-19060,10/15/2015,10/20/2015,Standard Class,339.96,Delivered
CA-2017-146780,CV-12805,12/25/2017,12/30/2017,Standard Class,41.96,Delivered
CA-2016-128867,CL-12565,11-03-2016,11-10-2016,Standard Class,75.96,Delivered
CA-2014-115259,RC-19960,8/25/2014,8/27/2014,Second Class,40.096,Delivered
CA-2015-110457,DK-13090,03-02-2015,03-06-2015,Standard Class,787.53,Delivered
US-2015-136476,GG-14650,04-05-2015,04-10-2015,Standard Class,157.794,Delivered
CA-2016-103730,SC-20725,06-12-2016,6/15/2016,First Class,47.04,Delivered
US-2014-152030,AD-10180,12/26/2014,12/28/2014,Second Class,600.558,Delivered
US-2014-134614,PF-19165,9/20/2014,9/25/2014,Standard Class,617.7,Delivered
US-2017-107272,TS-21610,11-05-2017,11-12-2017,Standard Class,2.388,Delivered
