product_id,category,sub_category,product_name,unit_price
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952
TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98
TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93
TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149.93
TEC-MA-10000112,Technology,Machines,Panasonic KX MB2061 Multifunction Printer,2396.4
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,11199.968
TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985
TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93
TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,2321.9
TEC-PH-10002114,Technology,Phones,Xiaomi Mi3,2279.96
TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5
TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,3357.6
